,group,filepath,subgroup
0,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2015-06-16.txt,train13
1,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-03-21.txt,test3
2,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-04-27.txt,test5
3,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-06-13.txt,train6
4,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-06-22.txt,test4
5,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-07-11.txt,train14
6,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-07-16.txt,test0
7,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-07-21.txt,train7
8,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-07-27.txt,train17
9,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-08-08.txt,train10
10,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-08-15.txt,train9
11,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-08-16.txt,train15
12,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-08-18.txt,train11
13,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-08-23.txt,train8
14,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-09-01a.txt,test2
15,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-09-01b.txt,train16
16,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-09-03.txt,train12
17,TrumpRemarks,./TrumpTexts/TrumpRemarks/raw/Trump_Campaign_Remarks_2016-09-06.txt,test1
18,TrumpStatements,./TrumpTexts/TrumpStatements/raw/Trump_Campaign_Statement_2015-07-14.txt,train2
19,TrumpStatements,./TrumpTexts/TrumpStatements/raw/Trump_Campaign_Statement_2015-07-15.txt,train1
20,TrumpStatements,./TrumpTexts/TrumpStatements/raw/Trump_Campaign_Statement_2015-11-11.txt,test0
