,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
61,Shepherd_train10,10,31.4832201004,"don, get, ask, god, thing, christ, want, lord, know, ill, say, said, wisdom, will, rememb, faith, let, look, trust, pray",0.0345234530103,0.0238841216172,0.8,0.2,0.259485286881,0.568764962677,0.0244422290213,0.0190793770841,0.0259204510296,0.00996940424215,0.023239025061,0.00391900718485,0.0116195125305,0.689073405584,0.592269271966,Shepherd,4,4.32333333333,4,4.04010076588,4
117,"TrumpRemarks_test49_./TrumpTexts/TrumpRemarks/raw/Donald J. Trump: Remarks at the AIPAC Policy Conference in Washington, DC - March 21, 2016.txt",1,3.89177513123,"israel, happen, terror, thank, palestinian, deal, iran, let, will, know, realli, dollar, someth, missil, get",0.0256304257958,0.0268706076891,0.0,1.0,0.575163398693,0.823529411765,0.0165357585779,0.015708970649,0.0293509714758,0.00950806118231,0.00248036378669,0.000413393964448,0.0243902439024,0.651284713207,0.575503854889,TrumpRemarks,4,3.92666666667,3,3.52382248451,3
102,"TrumpRemarks_test9_./TrumpTexts/TrumpRemarks/raw/Donald J. Trump: Remarks at a Rally at the Mid-America Center in Council Bluffs, Iowa - September 28, 2016.txt",1,3.39942312241,"clinton, hillari, want, job, will, anyth, africanamerican, whi, donor, vote, fail, save, happen, donat, tire",0.0241617357002,0.0182445759369,1.0,0.0,0.440298507463,0.776119402985,0.0241617357002,0.0177514792899,0.00986193293886,0.0138067061144,0.000493096646943,0.0162721893491,0.00641025641026,0.690072803434,0.546056200707,TrumpRemarks,4,3.96666666667,4,3.8610349501,4
3,DorothyDay_train11,10,14.471629858,"car, worker, prayer, too, farm, get, parish, know, stfranci, christ, away, say, pray, wish, love, strike, joy, felt, stteresa, hear",0.0217201942434,0.025119111465,0.6,0.4,0.326330575903,0.696871750135,0.0180240819684,0.00530999925211,0.0117418293321,0.0117418293321,0.0103208436168,0.00703013985491,0.0115174631666,0.751288411605,0.741894076893,DorothyDay,4,5.10666666667,4,4.60496731962,6
96,"TrumpRemarks_test36_./TrumpTexts/TrumpRemarks/raw/Donald J. Trump: Remarks on Immigration at the Phoenix Convention Center in Phoenix, Arizona - August 31, 2016.txt",1,8.6282389164,"illeg, immigr, enforc, will, clinton, crimin, get, hillari, thank, want, happen, visa, talk, deport, job",0.0304662037693,0.0168626895281,1.0,0.0,0.317626527051,0.715532286213,0.0358509281564,0.011903074961,0.0127532946011,0.0205469746351,0.00113362618676,0.00566813093382,0.0133201076945,0.664677867142,0.546654782743,TrumpRemarks,4,3.54666666667,4,4.28037140147,4
42,ISIS_train4,8,20.0344769955,"allah, ibn, prophet, faction, alayhi, sallam, sallallāhu, hypocrit, murji'ah, kufr, rahimahullāh, irjā, hypocrisi, said, abandon, messeng, “the, oblig, ignor, prayer",0.0149667907549,0.02519583279,0.125,0.875,0.25496523117,0.636802143363,0.00354980162873,0.00469826686156,0.00318438087283,0.0245353936104,0.0164439340155,5.22029651284e-05,0.00887450407183,0.739257442492,0.63753001289,ISIS,1,1.38,1,0.814531053345,1
6,PastorAnderson_train10,10,109.111362934,"say, get, bibl, vers, know, want, let, preach, unto, chapter, whi, talk, thing, pastor, sorrow, read, look, tell, god, okay",0.0234626025709,0.0174423146057,0.9,0.1,0.394997897382,0.667873005078,0.0125827312207,0.0290436365705,0.02636968766,0.0170013843849,0.0144127742694,0.00152661622196,0.0180538961901,0.709987497981,0.72739456635,PastorAnderson,2,2.48333333333,2,2.58509412276,2
84,"TrumpRemarks_test8_./TrumpTexts/TrumpRemarks/raw/Donald J. Trump: Remarks at the Phoenix Convention Center in Phoenix, Arizona - October 29, 2016.txt",1,3.45426797867,"hillari, obamacar, illeg, clinton, job, arizona, crimin, will, vote, corrupt, stop, premium, justic, deport, voter",0.0236742424242,0.0317234848485,0.0,1.0,0.570175438596,0.780701754386,0.0359848484848,0.00378787878788,0.00662878787879,0.00899621212121,0.00284090909091,0.0108901515152,0.00852272727273,0.604945696353,0.507799908186,TrumpRemarks,4,3.95333333333,4,4.2506587539,4
34,IntegralYoga_train4,10,13.8578019142,"yoga, mind, whi, say, don't, sri, should, everyth, yogi, god, vibrat, let, want, sutra, happi, swami, joy, thing, dedic, medit",0.031772983877,0.0132519549732,1.0,0.0,0.326014802692,0.702246758859,0.0142978591854,0.0357060051009,0.00680114382873,0.00618285802612,0.00718757245537,0.00162300023186,0.022953860422,0.71742734144,0.636066754712,IntegralYoga,6,5.46,6,5.58953327855,6
82,"TrumpRemarks_test55_./TrumpTexts/TrumpRemarks/raw/Donald J. Trump: Remarks at a Rally at Berglund Center in Roanoke, Virginia - September 24, 2016.txt",1,3.55508780479,"will, clinton, tax, job, dollar, get, africanamerican, hillari, cost, want, dream, childcar, sure, save, poverti",0.0272975432211,0.0204731574158,1.0,0.0,0.375886524823,0.808510638298,0.0345768880801,0.0150136487716,0.0218380345769,0.0113739763421,0.000454959053685,0.00636942675159,0.00545950864422,0.667146651019,0.650402590602,TrumpRemarks,4,4.07,4,4.22422367137,4
